ID,캐릭터 이름,대사
1,???,오늘은 특별한 손님이 왔네.
,,이리저리 뛰어다니는 게 귀엽네.
2,???,뭔가 잊어버린 건가? 계속 무언가를 찾고 있어.
3,???,저런' 울기 시작했는데.
,,말이라도 걸어볼까.
,,어쩌면' 내가 도울 수 있을지도.
4,???,꼬마 아가씨' 뭔가 찾는 거라도 있나요?
5,우는 아이,그게' 그게….
,우는 아이,엄마가 사준 인형을 잃어버렸어요.
6,???,인형' 인형이라….
,,이곳에서 잃어버린 건가요?
7,우는 아이,모르겠어요……. 으' 으아아앙….
8,???,잠시 어디에 두었는지 생각하며 기다려볼래요? 저도 같이 찾아볼게요.
,,(이 방 안에 있었으면 좋겠지만….)
,,(어쩌면' 탐색모드에 감지될지도 몰라.)
,,분명히 인형이라고 했지.
,,이런 엉망인 기능이라도' 도움이 될 수 있었으면 좋겠네.
9,???,찾았다.
,,구석에 있어서 잘 보이지 않았네.
,,이제 아이에게 말해주자.
10,???,잃어버린 게 저거에요? 꼬마 아가씨.
11,우는 아이,으아아앙'
,,...어? 내 인형!
12,우는 아이,흐윽…. 차' 찾아서 다행이야.
,,도와주셔서 감사합니다….
,,그' 그런데 아저씨는 누구세요?
13,???,...저요?
,,...
,,...글쎄' 요? 설명서에 쓰여 있는 게 전부라서.
14,울던 아이,이름 없어요?
15,???,..이름이라.
,울던 아이,...생각해본 적 없는걸요.
16,울던 아이,아저씨는 이름도 없어요?
,,이상하다. 친구들은 이름 다 있는데.
,,이 인형도 이름이 있어요! 티버에요!
17,???,..그래요?
18,울던 아이,으으응' 이름이 없는 건 너무 불쌍해요..
19,???,그 정도인가요? 딱히 생각 해보지 않은 것뿐인데…
20,울던 아이,우리 집 강아지도 이름은 있는걸요?
21,???,...그건' 확실히 신경 쓰이네요.
22,울던 아이,우우우웅... 그럼 제가 지어드릴게요!
23,???,... 제 이름을...요?
24,울던 아이,으으으응..... 그러니까….
,,...핀! 핀 아저씨! 어때요?
25,???,핀' 핀이라….
,,생각지도 못한 이름인데.
26,울던 아이,가슴팍에 쓰여 있는걸요? 핀이라고.
27,???,...아. 이건 일련번호인데.
28,울던 아이,핀! 핀 아저씨!
29,???,...그래도' 듣기 좋은 발음이네요.
30,여자 목소리,애니야! 어디 있니!
31,울던 아이,아' 엄마다!
,,그럼 핀 아저씨' 고마웠어요! 안녕!
32,핀,...저야말로. 고마워요.
33,핀,오늘은' 사람이 더 없네.
,,이렇게 없어도 돌아가는 건가?
,,...하긴' 박물관이라 상관없나?
34,핀,또다시 정전인 거보니' 마감할 시간이 다 되었나.
35,핀,...무' 무슨?
36,???,(지지직거리는 소리) ...려?
37,핀,...무슨 소리가 들리는 것 같은데?
38,???,(무전) 들리냐고!
39,핀,으' 으악?
40,???,(무전) 깜짝 놀라는 걸 보니 이젠 잘 들리나 보네.
41,핀,누' 누구세요?
42,???,(무전) 이제부터 널 꺼내줄 사람.
43,핀,누' 누구신데 절 꺼내주신다는 거죠?
44,???,(무전) 천장에서 뭐가 떨어졌을 거야. 일단 그것부터 찾아봐.
45,핀,저는' 여기에서 나간다는 생각도 안 해봤고...
46,???,(무전) 찾으면 그걸 몸에 꽂아. 악성 바이러스는 아니니까 걱정하지 말고.
47,핀,전 그저...
48,???,(무전) 아' 쫑알쫑알 시끄럽네!
,,(무전) 널 기다리고 있는 사람이 있어.
,,(무전) 죠셉. 죠셉 제페토. 들어봤지? 할배를 따라 만든 로봇이니까 모를 일은 없고.
,,(무전) 그 사람이' 널 만나고 싶대.
49,핀,...죠셉' 제페토…? 분명' 저를 만들었던….
,,가' 갑자기 그런 사람이 저를 왜 보고 싶어 하는 거죠?
50,???,(무전) ...그래서' 나갈 거야 말 거야? 두 번은 없어.
,,(무전) 그냥 거기서 평생 찐따처럼 짱박혀 살고 싶으면 가만히 있던가.
51,핀,...여기서' 나간다....?
52,???,(무전) 시간 없어. 나갈 생각 있으면 주변의 데이터 기억장치부터 찾아.
53,핀,데이터 기억장치라면...
54,???,(무전) 아' 답답해 미치겠네. 로봇공학자면서 그런 것도 몰라? USB. 찾아.
,,(무전) 찾으면 목 뒤에 꽂아. 두 번 말하게 하지 말고.
55,핀,그 정도는' 알고 있었다고요….
56,핀,이’ 이건...!
57,???,(무전) 아' 망할. 할배가 만든 거 아니랄까 봐.
,,(무전) 그거 업데이트하는데 시간이 좀 걸릴 거야. 쓸데없이 보안만 높아서.
58,핀,업데이트...? 보안...? 이거 바이러스 아니라고 하신 거 아닌가요?
59,???,(무전) 됐어. 사다리 내린다? 그거 타고 올라와.
60,핀,네? 사다리요?
61,핀,우' 우악?
